state,affected,death,recovered,active
Total,34285612,458470,33661339,152606
Andaman and Nicobar Islands,7651,129,7518,4
Andhra Pradesh,2066450,14373,2047722,4355
Arunachal Pradesh,55155,280,54774,101
Assam,610645,5997,600974,2327
Bihar,726098,9661,716390,46
Chandigarh,65351,820,64495,36
Chhattisgarh,1006052,13577,992159,316
Dadra and Nagar Haveli and Daman and Diu,10681,4,10644,2
Delhi,1439870,25091,1414431,348
Goa,178108,3364,174392,352
Gujarat,826577,10089,816283,205
Haryana,771252,10049,761068,135
Himachal Pradesh,224106,3738,218410,1942
Jammu and Kashmir,332249,4432,326915,902
Jharkhand,348764,5138,343518,108
Karnataka,2988333,38082,2941578,8644
Kerala,4968657,31681,4857181,79266
Ladakh,20962,208,20687,67
Lakshadweep,10365,51,10270,0
Madhya Pradesh,792854,10524,782215,115
Maharashtra,6611078,140216,6450585,16658
Manipur,123731,1921,121102,708
Meghalaya,83627,1450,81746,431
Mizoram,121359,432,114612,6315
Nagaland,31842,685,29904,210
Odisha,1041457,8386,1029147,3924
Puducherry,128013,1857,125726,430
Punjab,602401,16559,585591,251
Rajasthan,954429,8954,945443,32
Sikkim,31979,396,31063,195
State Unassigned,0,0,0,0
Tamil Nadu,2702623,36116,2655015,11492
Telangana,671463,3956,663498,4009
Tripura,84468,813,83466,126
Uttar Pradesh,1710158,22900,1687151,107
Uttarakhand,343896,7400,330195,151
West Bengal,1592908,19141,1565471,8296
