sno,state,active,affected,recovered,death
1,Andaman and Nicobar Islands,0,10766,10637,129
2,Andhra Pradesh,0,2340672,2325939,14733
3,Arunachal Pradesh,2,67046,66748,296
4,Assam,7,746150,738108,8035
5,Bihar,4,855260,842942,12314
6,Chandigarh,1,100690,99504,1185
7,Chhattisgarh,5,1187684,1173489,14190
8,Dadra and Nagar Haveli and Daman and Diu,0,11592,11588,4
9,Delhi,3,2040775,2014107,26665
10,Goa*,5,263306,259287,4014
11,Gujarat,8,1291353,1280266,11079
12,Haryana,27,1078875,1068094,10754
13,Himachal Pradesh,13,322829,318576,4240
14,Jammu and Kashmir,6,482017,477219,4792
15,Jharkhand,0,443824,438490,5334
16,Karnataka,20,4088635,4048258,40357
17,Kerala***,1047,6907000,6834010,71943
18,Ladakh,0,29587,29356,231
19,Lakshadweep,0,11415,11363,52
20,Madhya Pradesh,3,1056351,1045562,10786
21,Maharashtra,78,8169851,8021219,148554
22,Manipur,18,139973,137806,2149
23,Meghalaya,2,96954,95324,1628
24,Mizoram,7,239545,238805,733
25,Nagaland,0,36029,35247,782
26,Odisha,7,1348273,1338998,9215
27,Puducherry,3,177543,175559,1981
28,Punjab**,4,793626,773056,19338
29,Rajasthan,1,1326457,1316720,9736
30,Sikkim,4,44863,44359,500
31,Tamil Nadu,8,3610601,3572513,38080
32,Telangana,7,844359,840241,4111
33,Tripura,7,108325,107377,941
34,Uttarakhand,5,452544,444771,7768
35,Uttar Pradesh,74,2145405,2121624,23707
36,West Bengal,99,2125431,2103780,21552
37,,1475,44995606,44460942,531908
